frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
175,5.83917,768,448,0.588897,776,448,0.595164,760,448,0.640228,752,480,0.502685,736,472,0.302871,776,520,0.22476,792,488,0.279664,792,496,0.132098,760,472,0.134086,728,600,0.176809,0,0,0,0,0,0,816,552,0.124813,0,0,0,0,0,0
180,6.006,728,472,0.198974,736,472,0.200639,728,464,0.171411,840,376,0.17422,760,344,0.197697,824,352,0.101951,848,352,0.209591,816,336,0.126017,760,352,0.12321,992,512,0.169962,0,0,0,0,0,0,816,504,0.118985,0,0,0,0,0,0
185,6.17283,728,480,0.353253,736,464,0.335525,728,480,0.32052,728,512,0.199247,720,464,0.142479,728,456,0.10259,760,496,0.186528,0,0,0,0,0,0,744,600,0.156194,0,0,0,0,0,0,768,576,0.100175,0,0,0,0,0,0
190,6.33967,0,0,0,0,0,0,0,0,0,800,408,0.107745,768,464,0.143485,752,496,0.103086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,6.5065,840,336,0.447441,848,320,0.387074,832,328,0.4994,800,368,0.56784,792,416,0.323466,792,400,0.170335,896,360,0.512805,920,360,0.125249,0,0,0,848,488,0.362733,1072,584,0.103542,0,0,0,928,488,0.304568,0,0,0,0,0,0
200,6.67333,840,296,0.19139,848,288,0.168464,832,288,0.202102,768,384,0.550538,744,472,0.463073,728,512,0.437997,888,376,0.315008,0,0,0,0,0,0,784,536,0.39779,856,664,0.142626,928,872,0.121625,880,528,0.381522,928,632,0.151396,0,0,0
205,6.84017,880,256,0.274104,880,248,0.313724,872,248,0.337595,768,368,0.517123,728,464,0.361114,736,520,0.322446,888,336,0.371782,0,0,0,0,0,0,784,520,0.156154,1032,512,0.114553,0,0,0,904,472,0.150974,0,0,0,0,0,0
210,7.007,1016,408,0.342356,1032,400,0.320825,1008,408,0.339585,1016,456,0.241263,960,464,0.218421,984,464,0.160305,1032,424,0.197909,1048,456,0.149291,1032,400,0.102302,992,520,0.233314,0,0,0,0,0,0,1040,512,0.113761,0,0,0,0,0,0
215,7.17383,856,248,0.695811,872,232,0.75222,848,240,0.704652,792,352,0.778849,768,400,0.369101,848,376,0.16849,952,344,0.665255,1008,416,0.325103,1024,368,0.113201,816,544,0.188602,1080,568,0.21305,1088,808,0.187427,952,512,0.386022,1080,560,0.255732,0,0,0
220,7.34067,840,528,0.302476,840,520,0.256915,824,528,0.285216,816,560,0.203216,760,536,0.131568,0,0,0,808,576,0.155853,800,448,0.118263,800,504,0.106106,792,704,0.158574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
